departamento,provincias
AMAZONAS,Chachapoyas;Bagua;Bongara;Condorcanqui;Luya;Rodriguez de Mendoza;Utcubamba
ANCASH,Huaraz;Ajia;Antonio Raymondi;Asuncion;Bolognesi;Rodriguez de Mendoza;Huarmey
APURIMAC,Abancay;Antabamba;Aymares;Cotabambas;Grau;Chincheros;Andahuaylas
AREQUIPA,Arequipa;Camana;Caraveli;Castilla;Caylloma;Condesuyos;Islay;La Union
AYACUCHO,Cangallo;Huanta;Huamanga;Huanca Sancos;La Mar;Lucanas;Parinacochas;Paucar del Sara Sara;Sucre;Victor Fajardo;Vilcashuaman
CAJAMARCA,Cajamarca;Cajabamba;Celedin;Chota;Contumaza;Cutervo;Hualgayoc;Jaen;San Ignacio;San Marcos;San Miguel;San Pablo;Santa Cruz
CALLAO,Callao
CUSCO,Cusco;Acomayo;Anta;Calca;Canas;Canchis;Chumbivilcas;Espinar;La Convencion;Paruro;Paucartambo;Quispicanchi;Urubamba
HUANCAVELICA,Huancavelica;Acobamba;Angaraes;Castrovirreyna;Churcampa;Huaytara;Tayacaja
HUANUCO,Huanuco;Ambo;Dos de Mayo;Huacaybamba;Humalies;Leoncio Prado;Maranon;Pachitea;Puerto Inca;Lauricocha;Yarowilca
ICA,Ica;Chincha;Nazca;Palpa;Pisco
JUNIN,Chanchamayo;Chupaca;Concepcion;Huancayo;Jauja;Junin;Satipo;Tarma;Yauli
LA LIBERTAD,Trujillo;Ascope;Bolivar;Chepen;Julcan;Otuzco;Gran Chimu;Pacasmayo;Pataz;Sanchez Carrion;Santiago de Chuco;Viru
LAMBAYEQUE,Chiclayo;Ferrenafe;Lambayeque
LIMA,Barranca;Cajatambo;Canta;Canete;Huaral;Huarochiri;Huaura;Lima;Oyon;Yauyos
LORETO,Maynas;Putumayo;Alto Amazonas;Loreto;Mariscal Ramon Castilla;Requena;Ucayali;Datem del Maranon
MADRE DE DIOS,Tambopata;Manu;Tahuamanu
MOQUEGUA,Mariscal Nieto;General Sanchez Cerro;Ilo
PASCO,Pasco;Oxapampa;Daniel A. Carrion
PIURA,Ayabaca;Huancabamba;Morropon;Piura;Sechura;Paita;Talara
PUNO,San Roman;Puno;Azangaro;Chucuito;El Collao;Melgar;Carabaya;Huancane;Sandia;San Antonio de Putina;Lampa;Yunguyo;Moho
SAN MARTIN,Bellavista;El Dorado;Huallaga;Lamas;Mariscal Caceres;Moyobamba;Picota;Rioja;San Martin;Tocache
TACNA,Tacna;Candarave;Jorge Basadre;Tarata
TUMBES,Tumbes;Zarumilla;Contralmirante Villar
UCAYALI,Coronel Portillo;Atalaya;Padre Abad;Purus